Estado,Produto
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Soja
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Arroz
São Paulo,Milho
São Paulo,Milho
São Paulo,Milho
São Paulo,Milho
São Paulo,Milho
São Paulo,Milho
São Paulo,Milho
São Paulo,Milho
São Paulo,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Milho
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Soja
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Paraná,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Arroz
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Soja
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho
Rio G. do Sul,Milho